id,text,value
18009,Arcomps - 18200,arcomps
18010,Ardenais - 18170,ardenais
18011,Argent-sur-Sauldre - 18410,argent-sur-sauldre
18012,Argenvières - 18140,argenvieres
18013,Arpheuilles - 18200,arpheuilles
18014,Assigny - 18260,assigny
18015,Aubigny-sur-Nère - 18700,aubigny-sur-nere
18016,Aubinges - 18220,aubinges
18017,Augy-sur-Aubois - 18600,augy-sur-aubois
18018,Avord - 18520,avord
18019,Azy - 18220,azy
18020,Bannay - 18300,bannay
19001,Affieux - 19260,affieux
19002,Aix - 19200,aix
19003,Albignac - 19190,albignac
19004,Albussac - 19380,albussac
19005,Allassac - 19240,allassac
19006,Alleyrat - 19200,alleyrat
19007,Altillac - 19120,altillac
19008,Ambrugeat - 19250,ambrugeat
19009,Les Angles-sur-Corrèze - 19000,les-angles-sur-correze
19010,Argentat-sur-Dordogne - 19400,argentat
19011,Arnac-Pompadour - 19230,arnac-pompadour
19012,Astaillac - 19120,astaillac
19013,Aubazines - 19190,aubazines
19014,Auriac - 19220,auriac-2
19015,Ayen - 19310,ayen
19016,Bar - 19800,bar
19017,Bassignac-le-Bas - 19430,bassignac-le-bas
19018,Bassignac-le-Haut - 19220,bassignac-le-haut
19019,Beaulieu-sur-Dordogne - 19120,beaulieu-sur-dordogne
19020,Beaumont - 19390,beaumont-2
2A001,Afa - 20167,afa
2A004,Ajaccio - 20000,ajaccio
2A006,Alata - 20167,alata
2A008,Albitreccia - 20128,albitreccia
2A011,Altagène - 20112,altagene
2A014,Ambiegna - 20151,ambiegna
2A017,Appietto - 20167,appietto
2A018,Arbellara - 20110,arbellara
2A019,Arbori - 20160,arbori
2A021,Argiusta-Moriccio - 20140,argiusta-moriccio
2A022,Arro - 20151,arro
2A024,Aullène - 20116,aullene
2A026,Azilone-Ampaza - 20190,azilone-ampaza
2A027,Azzana - 20121,azzana
2A028,Balogna - 20160,balogna
2A031,Bastelica - 20119,bastelica
2A032,Bastelicaccia - 20129,bastelicaccia
21001,Agencourt - 21700,agencourt
21002,Agey - 21410,agey
21003,Ahuy - 21121,ahuy
21004,Aignay-le-Duc - 21510,aignay-le-duc
21005,Aiserey - 21110,aiserey
21006,Aisey-sur-Seine - 21400,aisey-sur-seine
21007,Aisy-sous-Thil - 21390,aisy-sous-thil
21008,Alise-Sainte-Reine - 21150,alise-sainte-reine
21009,Allerey - 21230,allerey
21010,Aloxe-Corton - 21420,aloxe-corton
21011,Ampilly-les-Bordes - 21450,ampilly-les-bordes
21012,Ampilly-le-Sec - 21400,ampilly-le-sec
21013,Ancey - 21410,ancey
21014,Antheuil - 21360,antheuil
21015,Antigny-la-Ville - 21230,antigny-la-ville
21016,Arceau - 21310,arceau
21017,Arcenant - 21700,arcenant
21018,Arcey - 21410,arcey
21020,Arconcey - 21320,arconcey
21021,Arc-sur-Tille - 21560,arc-sur-tille
22001,Allineuc - 22460,allineuc
22002,Andel - 22400,andel
22003,Aucaleuc - 22100,aucaleuc
22004,Bégard - 22140,begard
22005,Belle-Isle-en-Terre - 22810,belle-isle-en-terre
22006,Berhet - 22140,berhet
22008,Bobital - 22100,bobital
