id,text,value
11441,Vinassan - 11110,vinassan
11379,Sigean - 11130,sigean
11049,Bram - 11150,bram
11281,Pexiora - 11150,pexiora
11418,Villasavary - 11150,villasavary
11434,Villepinte - 11150,villepinte
11438,Villesiscle - 11150,villesiscle
11009,Alzonne - 11170,alzonne
11070,Carlipa - 11170,carlipa
11084,Caux-et-Sauzens - 11170,caux-et-sauzens
11089,Cenne-Monestiés - 11170,cenne-monesties
11253,Montolieu - 11170,montolieu
11259,Moussoulens - 11170,moussoulens
11288,Pezens - 11170,pezens
11308,Raissac-sur-Lampy - 11170,raissac-sur-lampy
11340,Sainte-Eulalie - 11170,sainte-eulalie-2
11357,Saint-Martin-le-Vieil - 11170,saint-martin-le-vieil
11437,Villesèquelande - 11170,villesequelande
11439,Villespy - 11170,villespy
11051,Brézilhac - 11270,brezilhac
11072,La Cassaigne - 11270,la-cassaigne
11087,Cazalrenoux - 11270,cazalrenoux
11136,Fanjeaux - 11270,fanjeaux
11153,La Force - 11270,la-force
11159,Gaja-la-Selve - 11270,gaja-la-selve
11162,Generville - 11270,generville
11193,Lasserre-de-Prouille - 11270,lasserre-de-prouille
11196,Laurac - 11270,laurac
11268,Orsans - 11270,orsans-11268
11291,Plavilla - 11270,plavilla
11312,Ribouisse - 11270,ribouisse
11331,Saint-Amans - 11270,saint-amans-2
11343,Saint-Gaudéric - 11270,saint-gauderic
11348,Saint-Julien-de-Briola - 11270,saint-julien-de-briola
07009,Andance - 07340,andance
07036,Bogy - 07340,bogy
07044,Brossainc - 07340,brossainc
07051,Champagne - 07340,champagne
07056,Charnas - 07340,charnas
07089,Félines - 07340,felines
07143,Limony - 07340,limony
07172,Peaugres - 07340,peaugres
07174,Peyraud - 07340,peyraud
07228,Saint-Désirat - 07340,saint-desirat
07234,Saint-Étienne-de-Valoux - 07340,saint-etienne-de-valoux
07243,Saint-Jacques-d'Atticieux - 07340,saint-jacques-d-atticieux
07313,Serrières - 07340,serrieres
07317,Talencieux - 07340,talencieux
07321,Thorrenc - 07340,thorrenc
07344,Vinzieux - 07340,vinzieux
11052,Brousses-et-Villaret - 11390,brousses-et-villaret
11079,Caudebronde - 11390,caudebronde
11115,Cuxac-Cabardès - 11390,cuxac-cabardes
11150,Fontiers-Cabardès - 11390,fontiers-cabardes
11189,Laprade - 11390,laprade
11221,Les Martys - 11390,les-martys
08081,Bogny-sur-Meuse - 08120,bogny-sur-meuse
08053,Bazeilles - 08140,bazeilles
08083,Brévilly - 08140,brevilly
08136,Daigny - 08140,daigny
08145,Douzy - 08140,douzy
08179,Francheval - 08140,francheval
08294,La Moncelle - 08140,la-moncelle
08342,Pouru-aux-Bois - 08140,pouru-aux-bois
08343,Pouru-Saint-Remy - 08140,pouru-saint-remy
08026,Aubigny-les-Pothées - 08150,aubigny-les-pothees
08110,Le Châtelet-sur-Sormonne - 08150,le-chatelet-sur-sormonne
08149,L'Échelle - 08150,l-echelle
08212,Harcy - 08150,harcy
08249,Laval-Morency - 08150,laval-morency
08251,Lépron-les-Vallées - 08150,lepron-les-vallees
08257,Logny-Bogny - 08150,logny-bogny
08260,Lonny - 08150,lonny
08312,Murtin-et-Bogny - 08150,murtin-et-bogny
08358,Remilly-les-Pothées - 08150,remilly-les-pothees
08361,Renwez - 08150,renwez
08365,Rimogne - 08150,rimogne
08370,Rouvroy-sur-Audry - 08150,rouvroy-sur-audry
08408,Sécheval - 08150,secheval
08429,Sormonne - 08150,sormonne
08460,Tremblois-lès-Rocroi - 08150,tremblois-les-rocroi
08468,Vaux-Villaine - 08150,vaux-villaine
12072,Comprégnac - 12100,compregnac
12084,Creissels - 12100,creissels
12145,Millau - 12100,millau
12204,La Roque-Sainte-Marguerite - 12100,la-roque-sainte-marguerite
12225,Saint-Georges-de-Luzençon - 12100,saint-georges-de-luzencon
08042,Balaives-et-Butz - 08160,balaives-et-butz
08079,Boutancourt - 08160,boutancourt
08096,Chalandry-Elaire - 08160,chalandry-elaire
08140,Dom-le-Mesnil - 08160,dom-le-mesnil
08152,Élan - 08160,elan
08158,Étrépigny - 08160,etrepigny
08173,Flize - 08160,flize
08209,Hannogne-Saint-Martin - 08160,hannogne-saint-martin
08327,Nouvion-sur-Meuse - 08160,nouvion-sur-meuse
08388,Saint-Marceau - 08160,saint-marceau
08400,Sapogne-et-Feuchères - 08160,sapogne-et-feucheres
08469,Vendresse - 08160,vendresse
12055,La Capelle-Bonance - 12130,la-capelle-bonance
12182,Pierrefiche - 12130,pierrefiche
12184,Pomayrols - 12130,pomayrols
12219,Sainte-Eulalie-d'Olt - 12130,sainte-eulalie-d-olt
12224,Saint Geniez d'Olt et d'Aubrac - 12130,saint-geniez-d-olt
12239,Saint-Martin-de-Lenne - 12130,saint-martin-de-lenne
08034,Autrecourt-et-Pourron - 08210,autrecourt-et-pourron
08055,Beaumont-en-Argonne - 08210,beaumont-en-argonne
08159,Euilly-et-Lombut - 08210,euilly-et-lombut
08252,Létanne - 08210,letanne
08311,Mouzon - 08210,mouzon
08466,Vaux-lès-Mouzon - 08210,vaux-les-mouzon
08477,Villers-devant-Mouzon - 08210,villers-devant-mouzon
08502,Yoncq - 08210,yoncq
08001,Acy-Romance - 08300,acy-romance
08008,Amagne - 08300,amagne
08021,Arnicourt - 08300,arnicourt
08038,Avançon - 08300,avancon-2
08048,Barby - 08300,barby
08060,Bergnicourt - 08300,bergnicourt
08062,Bertoncourt - 08300,bertoncourt
08064,Biermes - 08300,biermes
08111,Le Châtelet-sur-Retourne - 08300,le-chatelet-sur-retourne
08133,Coucy - 08300,coucy
08144,Doux - 08300,doux
08148,L'Écaille - 08300,l-ecaille
08150,Écly - 08300,ecly
08219,Hauteville - 08300,hauteville-2
08234,Inaumont - 08300,inaumont
08262,Lucquy - 08300,lucquy
08313,Nanteuil-sur-Aisne - 08300,nanteuil-sur-aisne
08314,Neuflize - 08300,neuflize
08330,Novy-Chevrières - 08300,novy-chevrieres
08339,Perthes - 08300,perthes
08362,Rethel - 08300,rethel
08386,Saint-Loup-en-Champagne - 08300,saint-loup-en-champagne
08397,Saint-Remy-le-Petit - 08300,saint-remy-le-petit
08403,Sault-lès-Rethel - 08300,sault-les-rethel
08416,Seuil - 08300,seuil
08426,Son - 08300,son
08427,Sorbon - 08300,sorbon
08435,Tagnon - 08300,tagnon
08452,Thugny-Trugny - 08300,thugny-trugny
08030,Auge - 08380,auge
08087,Brognon - 08380,brognon
08172,Fligny - 08380,fligny
08318,La Neuville-aux-Joûtes - 08380,la-neuville-aux-joutes
