url,marque,id_variante,nom_attr_1,val_attr_1,nom_attr_2,val_attr_2,nom_attr_3,val_attr_3,nom_attr_4,val_attr_4,nom_attr_5,val_attr_5,nom_attr_6,val_attr_6,nom_attr_7,val_attr_7,designation,reference,sku,code_article_fournisseur,descritptif,prix_reference,prix_promo_unitaire,quantite_degressif_1,prix_promo_degressif_1,quantite_degressif_2,prix_promo_degressif_2,quantite_degressif_3,prix_promo_degressif_3,quantite_degressif_4,prix_promo_degressif_4
/shop/product/product-12466?page=2004,,12466,,,,,,,,,,,,,,,VICRYL RAPIDE 4-0 DT-6 20MM 45 CM 36 PCS,15.VR2275,,,,471.4,369,,,,,,,,
/shop/product/product-12464?page=2004,,12464,,,,,,,,,,,,,,,PINCE ARTI FOIL BAUSCH CONTACT PROXIMAL,18.BK145,,,,116.95,,,,,,,,,
/shop/product/product-12459?page=2004,,12459,,,,,,,,,,,,,,,SUTURE SOIE 3-0 45 CM 20 MM 45 CM 12 PCS,15.W672,,,,133.6,,,,,,,,,
/shop/product/product-12453?page=2004,,12453,,,,,,,,,,,,,,,VICRYL 4-0 13MM 3/8 45CM BLANC 36 PC,15.V494H,,,,507.46,,,,,,,,,
/shop/product/product-12452?page=2004,,12452,,,,,,,,,,,,,,,VICRYL RAPIDE 2-0 ROUND 22MM 36 PCS,15.V62H,,,,721.4,,,,,,,,,
/shop/product/product-12449?page=2004,,12449,,,,,,,,,,,,,,,VICRYL 5-0 13MM 3/8 C3 75CM 36 PCS,15.JV389,,,,473.2,,,,,,,,,
/shop/product/product-12448?page=2004,,12448,,,,,,,,,,,,,,,SUTURE ETHICON 4-0 36 PCS EW319,15.EW319,,,,238.2,,,,,,,,,
/shop/product/product-12447?page=2004,,12447,,,,,,,,,,,,,,,PROLENE 75CM. DEC2,15.EH7693H,,,,210.95,,,,,,,,,
/shop/product/product-12446?page=2004,,12446,,,,,,,,,,,,,,,VICRYL 2-0 75CM 23MM AIG COUP 1/2  36 PC,15.JV461,,,,520.7,,,,,,,,,
/shop/product/product-25540?page=1408,,25540,,,,,,,,,,,,,,,MANCHE DE BISTOURI 3,70.10-130-03,,,,21.9,,,,,,,,,
/shop/product/product-25539?page=1408,,25539,,,,,,,,,,,,,,,CEMENT IT 50 MIXING TIPS,64.PEN33CA,,,,74.4,,,,,,,,,
/shop/product/product-25538?page=1408,,25538,,,,,,,,,,,,,,,SIMILE 4G A3.5,64.PEN56AD,,,,73.06,,,,,,,,,
/shop/product/product-25537?page=1408,,25537,,,,,,,,,,,,,,,KIT MONOART ALL IN ONE GREEN,68.MONOARTGR,,,,220.4,,,,,,,,,
/shop/product/product-25536?page=1408,,25536,,,,,,,,,,,,,,,ALERT CAPS A3.5,64.PEN15HC,,,,52.55,,,,,,,,,
/shop/product/product-25534?page=1408,,25534,,,,,,,,,,,,,,,PONY COMFORT OPEN DELUXE + DOSSIER,64.PONCOMFOPDEL,,,,NaN,,,,,,,,,
/shop/product/product-25533?page=1408,,25533,,,,,,,,,,,,,,,CEMENT-IT 100 MIXING TIPS,64.PEN33C,,,,133.96,,,,,,,,,
/shop/product/product-25529?page=1408,,25529,,,,,,,,,,,,,,,BORDER LOCK P.E. EDENTES 5 H + 5 B SCHEINEM.,67.6800,,,,311.15,,,,,,,,,
